height velocity(m/s) Temperature(K)
318.0 11.1900145795 293.0
318.5 11.1916306952 293.0
319.0 11.1932442759 293.0
319.5 11.1948553295 293.0
320.0 11.1964638639 293.0
320.5 11.1980698869 293.0
321.0 11.1996734065 293.0
321.5 11.2012744304 293.0
322.0 11.2028729663 293.0
322.5 11.204469022 293.0
323.0 11.2060626051 293.0
323.5 11.2076537234 293.0
324.0 11.2092423843 293.0
324.5 11.2108285956 293.0
325.0 11.2124123647 293.0
325.5 11.2139936992 293.0
326.0 11.2155726064 293.0
326.5 11.217149094 293.0
327.0 11.2187231692 293.0
327.5 11.2202948394 293.0
328.0 11.221864112 293.0
328.5 11.2234309944 293.0
329.0 11.2249954936 293.0
329.5 11.2265576171 293.0
330.0 11.2281173719 293.0
330.5 11.2296747653 293.0
331.0 11.2312298044 293.0
331.5 11.2327824963 293.0
332.0 11.2343328481 293.0
332.5 11.2358808669 293.0
333.0 11.2374265596 293.0
333.5 11.2389699332 293.0
334.0 11.2405109947 293.0
334.5 11.2420497509 293.0
335.0 11.2435862089 293.0
335.5 11.2451203753 293.0
336.0 11.2466522571 293.0
336.5 11.2481818611 293.0
337.0 11.249709194 293.0
337.5 11.2512342625 293.0
338.0 11.2527570734 293.0
338.5 11.2542776333 293.0
339.0 11.2557959489 293.0
339.5 11.2573120268 293.0
340.0 11.2588258735 293.0
340.5 11.2603374957 293.0
341.0 11.2618468998 293.0
341.5 11.2633540924 293.0
342.0 11.2648590799 293.0
342.5 11.2663618687 293.0
343.0 11.2678624654 293.0
343.5 11.2693608762 293.0
344.0 11.2708571076 293.0
344.5 11.2723511658 293.0
345.0 11.2738430572 293.0
345.5 11.275332788 293.0
346.0 11.2768203646 293.0
346.5 11.278305793 293.0
347.0 11.2797890795 293.0
347.5 11.2812702304 293.0
348.0 11.2827492516 293.0
348.5 11.2842261493 293.0
349.0 11.2857009297 293.0
349.5 11.2871735988 293.0
350.0 11.2886441626 293.0
350.5 11.2901126271 293.0
351.0 11.2915789983 293.0
351.5 11.2930432822 293.0
352.0 11.2945054847 293.0
352.5 11.2959656117 293.0
353.0 11.2974236691 293.0
353.5 11.2988796628 293.0
354.0 11.3003335986 293.0
354.5 11.3017854823 293.0
355.0 11.3032353196 293.0
355.5 11.3046831165 293.0
356.0 11.3061288784 293.0
356.5 11.3075726113 293.0
357.0 11.3090143208 293.0
357.5 11.3104540125 293.0
358.0 11.3118916921 293.0
358.5 11.3133273652 293.0
359.0 11.3147610374 293.0
359.5 11.3161927143 293.0
360.0 11.3176224013 293.0
360.5 11.3190501041 293.0
361.0 11.3204758282 293.0
361.5 11.3218995789 293.0
362.0 11.3233213618 293.0
362.5 11.3247411823 293.0
363.0 11.3261590459 293.0
363.5 11.3275749578 293.0
364.0 11.3289889234 293.0
364.5 11.3304009482 293.0
365.0 11.3318110374 293.0
365.5 11.3332191964 293.0
366.0 11.3346254303 293.0
366.5 11.3360297445 293.0
367.0 11.3374321442 293.0
367.5 11.3388326346 293.0
368.0 11.3402312208 293.0
368.5 11.3416279082 293.0
369.0 11.3430227018 293.0
369.5 11.3444156067 293.0
370.0 11.345806628 293.0
370.5 11.347195771 293.0
371.0 11.3485830405 293.0
371.5 11.3499684416 293.0
372.0 11.3513519795 293.0
372.5 11.352733659 293.0
373.0 11.3541134852 293.0
373.5 11.355491463 293.0
374.0 11.3568675975 293.0
374.5 11.3582418934 293.0
375.0 11.3596143557 293.0
375.5 11.3609849893 293.0
376.0 11.3623537991 293.0
376.5 11.36372079 293.0
377.0 11.3650859666 293.0
377.5 11.3664493339 293.0
378.0 11.3678108966 293.0
378.5 11.3691706596 293.0
379.0 11.3705286275 293.0
379.5 11.3718848051 293.0
380.0 11.3732391971 293.0
380.5 11.3745918082 293.0
381.0 11.3759426431 293.0
381.5 11.3772917065 293.0
382.0 11.3786390029 293.0
382.5 11.379984537 293.0
383.0 11.3813283134 293.0
383.5 11.3826703368 293.0
384.0 11.3840106115 293.0
384.5 11.3853491423 293.0
385.0 11.3866859337 293.0
385.5 11.3880209901 293.0
386.0 11.389354316 293.0
386.5 11.3906859161 293.0
387.0 11.3920157946 293.0
387.5 11.393343956 293.0
388.0 11.3946704048 293.0
388.5 11.3959951454 293.0
389.0 11.3973181822 293.0
389.5 11.3986395196 293.0
390.0 11.3999591618 293.0
390.5 11.4012771133 293.0
391.0 11.4025933784 293.0
391.5 11.4039079615 293.0
392.0 11.4052208666 293.0
392.5 11.4065320983 293.0
393.0 11.4078416607 293.0
393.5 11.4091495581 293.0
394.0 11.4104557946 293.0
394.5 11.4117603746 293.0
395.0 11.4130633022 293.0
395.5 11.4143645816 293.0
396.0 11.415664217 293.0
396.5 11.4169622124 293.0
397.0 11.4182585721 293.0
397.5 11.4195533002 293.0
398.0 11.4208464007 293.0
398.5 11.4221378777 293.0
399.0 11.4234277354 293.0
399.5 11.4247159777 293.0
400.0 11.4260026088 293.0
400.5 11.4272876326 293.0
401.0 11.4285710531 293.0
401.5 11.4298528744 293.0
402.0 11.4311331005 293.0
402.5 11.4324117352 293.0
403.0 11.4336887825 293.0
403.5 11.4349642465 293.0
404.0 11.4362381309 293.0
404.5 11.4375104397 293.0
405.0 11.4387811769 293.0
405.5 11.4400503462 293.0
406.0 11.4413179516 293.0
406.5 11.4425839968 293.0
407.0 11.4438484858 293.0
407.5 11.4451114224 293.0
408.0 11.4463728102 293.0
408.5 11.4476326533 293.0
409.0 11.4488909553 293.0
409.5 11.4501477199 293.0
410.0 11.4514029511 293.0
410.5 11.4526566524 293.0
411.0 11.4539088276 293.0
411.5 11.4551594804 293.0
412.0 11.4564086146 293.0
412.5 11.4576562337 293.0
413.0 11.4589023415 293.0
413.5 11.4601469417 293.0
414.0 11.4613900378 293.0
414.5 11.4626316335 293.0
415.0 11.4638717325 293.0
415.5 11.4651103383 293.0
416.0 11.4663474545 293.0
416.5 11.4675830847 293.0
417.0 11.4688172324 293.0
417.5 11.4700499013 293.0
418.0 11.4712810948 293.0
418.5 11.4725108165 293.0
419.0 11.4737390699 293.0
419.5 11.4749658585 293.0
420.0 11.4761911858 293.0
420.5 11.4774150552 293.0
421.0 11.4786374703 293.0
421.5 11.4798584344 293.0
422.0 11.4810779511 293.0
422.5 11.4822960238 293.0
423.0 11.4835126558 293.0
423.5 11.4847278505 293.0
424.0 11.4859416115 293.0
424.5 11.4871539419 293.0
425.0 11.4883648453 293.0
425.5 11.489574325 293.0
426.0 11.4907823842 293.0
426.5 11.4919890264 293.0
427.0 11.4931942549 293.0
427.5 11.4943980729 293.0
428.0 11.4956004838 293.0
428.5 11.4968014909 293.0
429.0 11.4980010974 293.0
429.5 11.4991993065 293.0
430.0 11.5003961216 293.0
430.5 11.5015915459 293.0
431.0 11.5027855826 293.0
431.5 11.503978235 293.0
432.0 11.5051695062 293.0
432.5 11.5063593994 293.0
433.0 11.5075479178 293.0
433.5 11.5087350646 293.0
434.0 11.5099208429 293.0
434.5 11.511105256 293.0
435.0 11.5122883069 293.0
435.5 11.5134699987 293.0
436.0 11.5146503347 293.0
436.5 11.5158293178 293.0
437.0 11.5170069513 293.0
437.5 11.5181832381 293.0
438.0 11.5193581814 293.0
438.5 11.5205317842 293.0
439.0 11.5217040496 293.0
439.5 11.5228749806 293.0
440.0 11.5240445803 293.0
440.5 11.5252128517 293.0
441.0 11.5263797977 293.0
441.5 11.5275454215 293.0
442.0 11.5287097259 293.0
442.5 11.529872714 293.0
443.0 11.5310343888 293.0
443.5 11.5321947532 293.0
444.0 11.5333538101 293.0
444.5 11.5345115626 293.0
445.0 11.5356680134 293.0
445.5 11.5368231657 293.0
446.0 11.5379770222 293.0
446.5 11.5391295859 293.0
447.0 11.5402808597 293.0
447.5 11.5414308465 293.0
448.0 11.542579549 293.0
448.5 11.5437269703 293.0
449.0 11.5448731132 293.0
449.5 11.5460179804 293.0
450.0 11.5471615748 293.0
450.5 11.5471615748 293.0
451.0 11.5471615748 293.0
451.5 11.5471615748 293.0
452.0 11.5471615748 293.0
452.5 11.5471615748 293.0
453.0 11.5471615748 293.0
453.5 11.5471615748 293.0
454.0 11.5471615748 293.0
454.5 11.5471615748 293.0
455.0 11.5471615748 293.0
455.5 11.5471615748 293.0
456.0 11.5471615748 293.0
456.5 11.5471615748 293.0
457.0 11.5471615748 293.0
457.5 11.5471615748 293.0
458.0 11.5471615748 293.0
458.5 11.5471615748 293.0
459.0 11.5471615748 293.0
459.5 11.5471615748 293.0
460.0 11.5471615748 293.0
460.5 11.5471615748 293.0
461.0 11.5471615748 293.0
461.5 11.5471615748 293.0
462.0 11.5471615748 293.0
462.5 11.5471615748 293.0
463.0 11.5471615748 293.0
463.5 11.5471615748 293.0
464.0 11.5471615748 293.0
464.5 11.5471615748 293.0
465.0 11.5471615748 293.0
